Date,State,Confirmed,Recovered,Deaths,Active
2020-04-01,Maharashtra,335,42,16,277
2020-04-01,Delhi,152,30,2,120
2020-04-01,Kerala,265,25,1,239
2020-04-01,Tamil Nadu,234,15,1,218
2020-04-01,Gujarat,82,10,6,66
2020-05-01,Maharashtra,10498,1818,459,8221
2020-05-01,Delhi,3515,1094,59,2362
2020-05-01,Kerala,497,383,4,110
2020-05-01,Tamil Nadu,2162,1210,27,925
2020-05-01,Gujarat,4395,613,214,3568
2020-06-01,Maharashtra,67655,29329,2286,36040
2020-06-01,Delhi,19844,8075,473,11296
2020-06-01,Kerala,1269,608,10,651
2020-06-01,Tamil Nadu,23495,13170,184,10141
2020-06-01,Gujarat,16794,8603,1038,7153
